field_1,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,tracts,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTo,PercentESL,PercentPOC
21,2524049179,8/26/2014,2000000,3,2.75,3050,44867,1,0,4,3,9,2330,720.0,1968,0,98040,47.5316,-122.233,4110,20336,Tract 024602,1,1,1,3,1.000000000000000,2.630879620000000,22.508636730000000
22,7137970340,7/3/2014,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0.0,1995,0,98092,47.3266,-122.169,2240,7005,Tract 031205,2,4,3,9,3.000000000000000,6.877539180000000,41.961694720000000
23,8091400200,5/16/2014,252700,2,1.5,1070,9643,1,,0,3,7,1070,0.0,1985,,98030,47.3533,-122.166,1220,8386,Tract 029601,4,4,4,12,4.000000000000000,18.108186290000000,57.434191500000000
24,3814700200,11/20/2014,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0.0,1985,0,98030,47.3739,-122.172,2200,6865,Tract 029502,3,4,4,11,3.666666670000000,15.239212620000000,52.105331770000000
25,1202000200,11/3/2014,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0.0,1941,0,98002,47.3048,-122.218,1030,4705,Tract 030600,2,4,3,9,3.000000000000000,5.669050050000000,45.369424580000000
26,1794500383,6/26/2014,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700.0,1915,,98119,47.6386,-122.36,1760,3573,Tract 006800,1,2,1,4,1.333333330000000,2.418379690000000,15.266021770000000
27,3303700376,12/1/2014,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0.0,1909,0,98112,47.6221,-122.314,1860,3861,Tract 007500,1,4,2,7,2.333333330000000,3.518793560000000,27.419170570000000
28,5101402488,6/24/2014,438000,3,1.75,1520,6380,1,0,0,3,7,790,730.0,1948,,98115,47.695,-122.304,1520,6235,Tract 002100,2,3,1,6,2.000000000000000,8.836104510000000,22.945368170000000
29,1873100390,3/2/2015,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0.0,2005,0,98052,47.7073,-122.11,2630,6026,Tract 032321,2,1,3,6,2.000000000000000,5.761245670000000,39.896193770000000
30,8562750320,11/10/2014,580500,3,2.5,2320,3980,2,0,0,3,8,2320,0.0,2003,0,98027,47.5391,-122.07,2580,3980,Tract 025006,2,1,3,6,2.000000000000000,7.201713910000000,38.282794990000000
31,2426039314,12/1/2014,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0.0,2005,0,98133,47.7274,-122.357,1390,1756,Tract 000401,3,5,3,11,3.666666670000000,10.177056990000000,46.540693350000000
32,461000390,6/24/2014,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820.0,1929,0,98117,47.6823,-122.368,1460,5000,Tract 003000,1,3,1,5,1.666666670000000,1.363636360000000,19.562289560000000
33,7589200193,11/10/2014,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0.0,1929,0,98117,47.6889,-122.375,1570,5080,Tract 003000,1,3,1,5,1.666666670000000,1.363636360000000,19.562289560000000
34,7955080270,12/3/2014,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780.0,1981,0,98058,47.4276,-122.157,2020,8720,Tract 029307,3,3,2,8,2.666666670000000,11.116378290000000,35.055700400000000
35,9547205180,6/13/2014,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790.0,1930,2002,98115,47.6827,-122.31,1590,3264,Tract 002600,1,3,1,5,1.666666670000000,1.699268920000000,19.126654810000000
36,9435300030,5/28/2014,550000,4,1,1660,34848,1,0,0,1,5,930,730.0,1933,0,98052,47.6621,-122.132,2160,11467,Tract 022802,2,2,3,7,2.333333330000000,8.210735590000000,36.719681910000000
37,2768000400,12/30/2014,640000,4,2,2360,6000,2,0,0,4,8,2360,0.0,1904,0,98107,47.6702,-122.362,1730,4700,Tract 003400,1,3,1,5,1.666666670000000,1.147227530000000,15.269052170000000
38,7895500070,2/13/2015,240000,4,1,1220,8075,1,0,0,2,7,890,330.0,1969,0,98001,47.3341,-122.282,1290,7800,Tract 029901,3,4,2,9,3.000000000000000,11.431670280000000,33.427331890000000
39,2078500320,6/20/2014,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0.0,1996,0,98056,47.5301,-122.18,2620,11884,Tract 024702,3,2,3,8,2.666666670000000,10.308182780000000,37.606269930000000
40,5547700270,7/15/2014,625000,4,2.5,2570,5520,2,,0,3,9,2570,0.0,2000,,98074,47.6145,-122.027,2470,5669,Tract 032214,2,1,3,6,2.000000000000000,4.910366330000000,46.188620420000000
41,7766200013,8/11/2014,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620.0,1984,0,98166,47.445,-122.347,2410,30617,Tract 028600,1,3,1,5,1.666666670000000,1.273584910000000,13.522012580000000
42,7203220400,7/7/2014,861990,5,2.75,3595,5639,2,0,0,3,9,3595,?,2014,0,98053,47.6848,-122.016,3625,5639,Tract 032329,2,1,4,7,2.333333330000000,6.784628750000000,52.605297440000000
43,9270200160,10/28/2014,685000,3,1,1570,2280,2,0,0,3,7,1570,0.0,1922,0,98119,47.6413,-122.364,1580,2640,Tract 005900,1,3,1,5,1.666666670000000,1.266457680000000,21.015673980000000
44,1432701230,7/29/2014,309000,3,1,1280,9656,1,0,0,4,6,920,360.0,1959,0,98058,47.4485,-122.175,1340,8808,Tract 025803,3,4,5,12,4.000000000000000,14.346259800000000,62.428480610000000
45,8035350320,7/18/2014,488000,3,2.5,3160,13603,2,0,0,3,8,3160,0.0,2003,,98019,47.7443,-121.977,3050,9232,Tract 032401,1,2,1,4,1.333333330000000,4.252618220000000,8.457632500000000
46,8945200830,3/25/2015,210490,3,1,990,8528,1,0,0,3,6,990,0.0,1966,0,98023,47.3066,-122.371,1228,8840,Tract 030311,3,3,4,10,3.333333330000000,13.824636900000000,55.693024920000000
47,4178300310,7/16/2014,785000,4,2.5,2290,13416,2,0,0,4,9,2290,0.0,1981,0,98007,47.6194,-122.151,2680,13685,Tract 023603,4,3,5,12,4.000000000000000,21.751539730000000,63.512092530000000
48,9215400105,4/28/2015,450000,3,1.75,1250,5963,1,0,0,4,7,1250,0.0,1953,0,98115,47.6796,-122.301,970,5100,Tract 002500,1,2,1,4,1.333333330000000,1.236429430000000,17.973462000000000
49,822039084,3/11/2015,1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588.0,1953,0,98070,47.4041,-122.451,2680,72513,Tract 027702,1,3,1,5,1.666666670000000,0.337197050000000,5.837723920000000
50,5245600105,9/16/2014,228000,3,1,1190,9199,1,0,0,3,7,1190,0.0,1955,0,98148,47.4258,-122.322,1190,9364,Tract 028700,2,4,2,8,2.666666670000000,6.412273800000000,32.140047210000000
51,7231300125,2/17/2015,345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510.0,1966,0,98056,47.4934,-122.189,1990,9133,Tract 025400,4,5,4,13,4.333333330000000,17.149631190000000,53.951527920000000
52,7518505990,12/31/2014,600000,3,1.75,1410,4080,1,0,0,4,7,1000,410.0,1950,,98117,47.6808,-122.384,1410,4080,Tract 003100,1,3,1,5,1.666666670000000,1.966857670000000,12.962676170000000
53,3626039271,2/5/2015,585000,2,1.75,1980,8550,1,0,0,3,7,990,990.0,1981,0,98117,47.6989,-122.369,1480,6738,Tract 001400,1,4,2,7,2.333333330000000,4.198198200000000,26.306306310000000
54,4217401195,3/3/2015,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600.0,1927,0,98105,47.6571,-122.281,2730,6000,Tract 004100,2,1,1,4,1.333333330000000,5.454545450000000,18.219696970000000
55,9822700295,5/12/2014,885000,4,2.5,2830,5000,2,,0,3,9,2830,0.0,1995,0,98105,47.6597,-122.29,1950,5000,Tract 004100,2,1,1,4,1.333333330000000,5.454545450000000,18.219696970000000
56,9478500640,8/19/2014,292500,4,2.5,2250,4495,2,0,0,3,7,2250,0.0,2008,,98042,47.3663,-122.114,2250,4500,Tract 031706,2,4,3,9,3.000000000000000,5.251017640000000,37.014925370000000
57,2799800710,4/7/2015,301000,3,2.5,2420,4750,2,0,0,3,8,2420,0.0,2003,0,98042,47.3663,-122.122,2690,4750,Tract 031706,2,4,3,9,3.000000000000000,5.251017640000000,37.014925370000000
58,7922800400,8/27/2014,951000,5,3.25,3250,14342,2,0,4,4,8,3250,0.0,1968,,98008,47.588,-122.116,2960,11044,Tract 023403,3,3,2,8,2.666666670000000,10.512260260000000,33.357611070000000
59,8079040320,2/23/2015,430000,4,3,1850,9976,2,0,0,3,8,1850,0.0,1991,0,98059,47.5059,-122.149,2270,8542,Tract 025101,3,3,4,10,3.333333330000000,10.849854000000000,49.162440450000000
60,1516000055,12/10/2014,650000,3,2.25,2150,21235,1,,3,4,8,1590,560.0,1959,0,98166,47.4336,-122.339,2570,18900,Tract 028600,1,3,1,5,1.666666670000000,1.273584910000000,13.522012580000000
61,9558200045,8/28/2014,289000,3,1.75,1260,8400,1,0,0,3,7,1260,0.0,1954,0,98148,47.4366,-122.335,1290,8750,Tract 028500,2,4,4,10,3.333333330000000,9.277319330000000,52.738184550000000
62,5072410070,10/21/2014,505000,3,1.75,2519,8690,2,,0,5,8,2519,0.0,1973,0,98166,47.4428,-122.344,2500,9500,Tract 028600,1,3,1,5,1.666666670000000,1.273584910000000,13.522012580000000
63,9528102996,12/7/2014,549000,3,1.75,1540,1044,3,0,0,3,8,1540,0.0,2014,0,98115,47.6765,-122.32,1580,3090,Tract 003600,1,4,2,7,2.333333330000000,1.628713620000000,24.219574720000000
64,1189001180,6/3/2014,425000,3,2.25,1660,6000,1,0,0,3,7,1110,550.0,1979,0,98122,47.6113,-122.297,1440,4080,Tract 008800,1,3,3,7,2.333333330000000,3.871576960000000,42.115203020000000
65,3253500160,11/20/2014,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000.0,1925,0,98144,47.5747,-122.304,1440,4000,Tract 010002,5,4,4,13,4.333333330000000,27.589786170000000,61.054598300000000
66,3394100030,9/9/2014,975000,4,2.5,2720,11049,2,,0,3,10,2720,0.0,1989,0,98004,47.5815,-122.192,2750,11049,Tract 023900,3,1,2,6,2.000000000000000,11.672934950000000,31.689650370000000
67,3717000160,10/9/2014,287000,4,2.5,2240,4648,2,0,0,3,7,2240,0.0,2005,0,98001,47.3378,-122.257,2221,4557,Tract 029802,2,3,3,8,2.666666670000000,6.787135640000000,45.487791760000000
68,1274500060,8/25/2014,204000,3,1,1000,12070,1,0,0,4,7,1000,0.0,1968,,98042,47.3621,-122.11,1010,12635,Tract 031706,2,4,3,9,3.000000000000000,5.251017640000000,37.014925370000000
69,1802000060,6/12/2014,1330000,5,2.25,3200,20158,1,0,0,3,8,1600,1600.0,1965,0,98004,47.6303,-122.215,3390,20158,Tract 024100,2,1,1,4,1.333333330000000,4.960727570000000,23.522116580000000
70,1525059190,9/12/2014,1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1700.0,1973,0,98005,47.6525,-122.16,3530,38917,Tract 022801,4,3,5,12,4.000000000000000,18.901250140000000,62.610391100000000
71,1049000060,1/5/2015,325000,3,2,1260,5612,1,0,0,4,7,1260,0.0,1972,0,98034,47.7362,-122.179,1640,4745,Tract 021905,2,3,2,7,2.333333330000000,8.536148890000000,32.355046530000000
72,8820901275,6/10/2014,571000,4,2,2750,7807,1.5,0,0,5,7,2250,500.0,1916,0,98125,47.7168,-122.287,1510,7807,Tract 000800,1,3,1,5,1.666666670000000,4.608830360000000,18.319132460000000
73,5416510140,7/10/2014,360000,4,2.5,2380,5000,2,0,0,3,8,2380,0.0,2005,,98038,47.3608,-122.036,2420,5000,Tract 032011,1,2,1,4,1.333333330000000,1.880659390000000,16.345484100000000
74,3444100400,3/16/2015,349000,3,1.75,1790,50529,1,0,0,5,7,1090,700.0,1965,0,98042,47.3511,-122.073,1940,50529,Tract 032006,1,3,1,5,1.666666670000000,1.761542740000000,14.963842020000000
75,3276920270,11/5/2014,832500,4,4,3430,35102,2,0,0,4,10,2390,1040.0,1986,0,98075,47.5822,-121.987,3240,35020,Tract 032213,2,1,2,5,1.666666670000000,6.478624940000000,25.760246800000000
76,4036801170,10/13/2014,380000,4,1.75,1760,7300,1,0,0,3,7,880,880.0,1956,,98008,47.6034,-122.125,1680,7500,Tract 023300,3,4,2,9,3.000000000000000,15.886134070000000,35.720844810000000
77,2391600320,4/20/2015,480000,3,1,1040,5060,1,0,0,3,7,1040,0.0,1941,,98116,47.5636,-122.394,890,5060,Tract 009702,1,2,1,4,1.333333330000000,1.351107910000000,17.204107370000000
78,6300000287,6/9/2014,410000,3,1,1410,5060,1,0,0,4,7,910,500.0,1956,0,98133,47.7073,-122.34,1130,5693,Tract 000600,3,4,3,10,3.333333330000000,12.417814170000000,37.365091180000000
79,1531000030,3/23/2015,720000,4,2.5,3450,39683,2,0,0,3,10,3450,?,2002,0,98010,47.342,-122.025,3350,39750,Tract 031605,1,3,1,5,1.666666670000000,2.973881560000000,20.946470130000000
80,5104520400,12/2/2014,390000,3,2.5,2350,5100,2,0,0,3,8,2350,0.0,2003,0,98038,47.3512,-122.008,2350,5363,Tract 031603,1,3,1,5,1.666666670000000,2.553528950000000,21.379857260000000
81,7437100340,12/22/2014,360000,4,2.5,1900,5889,2,0,0,3,7,1900,0.0,1992,0,98038,47.349,-122.031,1870,6405,Tract 031604,1,3,2,6,2.000000000000000,2.685168500000000,25.806451610000000
82,9418400240,10/28/2014,355000,2,1,2020,6720,1,0,0,3,7,1010,1010.0,1948,0,98118,47.5474,-122.291,1720,6720,Tract 010401,5,5,5,15,5.000000000000000,44.666511740000000,81.385080180000000
83,1523059105,1/28/2015,356000,3,1.5,1680,8712,1,0,0,3,8,1680,0.0,1964,0,98059,47.4811,-122.149,1850,8797,Tract 025602,3,3,3,9,3.000000000000000,12.774256460000000,41.979522180000000
84,1133000671,6/2/2014,315000,3,1,960,6634,1,0,0,3,6,960,0.0,1952,0,98125,47.7264,-122.31,1570,7203,Tract 000200,3,4,3,10,3.333333330000000,16.380283460000000,36.749027970000000
85,4232902595,11/14/2014,940000,3,1.5,2140,3600,2,0,0,3,9,1900,240.0,1925,0,98119,47.6337,-122.365,2020,4800,Tract 006900,1,2,1,4,1.333333330000000,0.322320710000000,12.993553590000000
86,2599001200,11/3/2014,305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0.0,1961,0,98092,47.2909,-122.189,1590,8165,Tract 031100,2,5,3,10,3.333333330000000,8.629893240000000,41.903914590000000
87,3342103156,6/18/2014,461000,3,3.25,2770,6278,2,,0,3,9,1980,790.0,2006,0,98056,47.5228,-122.199,1900,7349,Tract 025301,3,4,3,10,3.333333330000000,10.436781610000000,45.900383140000000
88,1332700270,5/19/2014,215000,2,2.25,1610,2040,2,0,0,4,7,1610,0.0,1979,,98056,47.518,-122.194,1950,2025,Tract 025200,3,3,3,9,3.000000000000000,13.588728460000000,46.751280860000000
89,3869900162,9/4/2014,335000,2,1.75,1030,1066,2,0,0,3,7,765,265.0,2006,,98136,47.5394,-122.387,1030,1106,Tract 011600,1,3,1,5,1.666666670000000,1.203072910000000,13.944049860000000
90,2791500270,5/22/2014,243500,4,2.5,1980,7403,2,0,0,3,7,1980,0.0,1988,0,98023,47.2897,-122.372,1980,7510,Tract 030312,3,5,3,11,3.666666670000000,10.722843450000000,46.565495210000000
91,5036300431,3/11/2015,1100000,5,2.75,3520,6353,2,0,0,4,10,3520,0.0,2001,0,98199,47.6506,-122.391,2520,6250,Tract 005801,1,4,2,7,2.333333330000000,3.929640720000000,24.382485030000000
92,4168000060,2/26/2015,153000,3,1,1200,10500,1,0,0,3,7,1200,0.0,1962,0,98023,47.322,-122.351,1350,10500,Tract 030201,3,4,4,11,3.666666670000000,10.747004930000000,48.132487670000000
93,6021501535,7/25/2014,430000,3,1.5,1580,5000,1,0,0,3,8,1290,290.0,1939,0,98117,47.687,-122.386,1570,4500,Tract 003100,1,3,1,5,1.666666670000000,1.966857670000000,12.962676170000000
94,6021501535,12/23/2014,700000,3,1.5,1580,5000,1,0,0,3,8,1290,290.0,1939,0,98117,47.687,-122.386,1570,4500,Tract 003100,1,3,1,5,1.666666670000000,1.966857670000000,12.962676170000000
95,1483300570,9/8/2014,905000,4,2.5,3300,10250,1,0,0,3,7,2390,910.0,1946,1991,98040,47.5873,-122.249,1950,6045,Tract 024300,2,2,2,6,2.000000000000000,5.910138250000000,31.025345620000000
96,3422049190,3/30/2015,247500,3,1.75,1960,15681,1,0,0,3,7,1960,0.0,1967,0,98032,47.3576,-122.277,1750,15616,Tract 029801,3,4,4,11,3.666666670000000,11.557151910000000,49.841538140000000
97,1099611230,9/12/2014,199000,4,1.5,1160,6400,1,0,0,4,7,1160,0.0,1975,0,98023,47.3036,-122.378,1160,6400,Tract 030306,2,3,3,8,2.666666670000000,5.738411170000000,41.323453390000000
98,722079104,7/11/2014,314000,3,1.75,1810,41800,1,0,0,5,7,1210,600.0,1980,0,98038,47.4109,-121.958,1650,135036,Tract 032003,1,3,1,5,1.666666670000000,0.853404130000000,9.084012900000000
99,7338200240,5/16/2014,437500,3,2.5,2320,36847,2,0,2,3,9,2320,0.0,1992,0,98045,47.4838,-121.714,2550,35065,Tract 032800,1,3,1,5,1.666666670000000,0.340280730000000,6.125053170000000
100,1952200240,6/11/2014,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800.0,1910,0,98102,47.6415,-122.315,2200,4500,Tract 006100,1,3,1,5,1.666666670000000,2.915726110000000,19.168547780000000
101,5200100125,10/27/2014,555000,3,2,1980,3478,1.5,0,0,4,7,1440,540.0,1929,0,98117,47.6775,-122.372,1610,3478,Tract 003300,1,3,1,5,1.666666670000000,2.046658080000000,17.876055530000000
102,7214720075,12/12/2014,699950,3,2.25,2190,107593,2,0,0,4,8,2190,0.0,1983,0,98077,47.7731,-122.08,2570,47777,Tract 032307,1,2,1,4,1.333333330000000,2.329830970000000,14.466270750000000
103,2450000295,10/7/2014,1090000,3,2.5,2920,8113,2,0,0,3,8,2920,0.0,1950,2010,98004,47.5814,-122.196,2370,8113,Tract 023900,3,1,2,6,2.000000000000000,11.672934950000000,31.689650370000000
104,6197800045,9/24/2014,290000,3,1,1210,33919,1,0,0,3,7,1210,0.0,1954,0,98058,47.4375,-122.184,1640,14910,Tract 029304,3,3,3,9,3.000000000000000,10.586383310000000,46.989374260000000
105,1328310370,4/2/2015,375000,3,2.5,2340,10005,1,,0,4,8,1460,880.0,1978,,98058,47.4431,-122.133,2250,8162,Tract 031908,3,4,3,10,3.333333330000000,12.029736430000000,42.757377790000000
106,546000875,5/23/2014,460000,3,1,1670,4005,1.5,0,0,4,7,1170,500.0,1939,0,98117,47.6878,-122.38,1240,4005,Tract 003000,1,3,1,5,1.666666670000000,1.363636360000000,19.562289560000000
107,3530510041,7/23/2014,188500,2,1.75,1240,2493,1,0,0,4,8,1240,0.0,1985,0,98198,47.3813,-122.322,1270,4966,Tract 029001,2,4,2,8,2.666666670000000,5.944798300000000,32.420382170000000
108,1853000400,3/5/2015,680000,4,2.5,3140,28037,2,0,0,4,10,3140,0.0,1991,0,98077,47.7304,-122.082,2990,35001,Tract 032326,2,1,2,5,1.666666670000000,7.666181470000000,23.944687050000000
109,3134100116,8/27/2014,470000,5,1.75,2030,12342,2,0,0,4,7,2030,0.0,1942,0,98052,47.6417,-122.109,2500,9433,Tract 022902,2,1,3,6,2.000000000000000,8.474576270000000,37.966101690000000
110,9545230140,7/25/2014,597750,4,2.5,2310,9624,2,0,0,3,8,2310,0.0,1984,,98027,47.5386,-122.053,1940,9636,Tract 032103,2,4,2,8,2.666666670000000,5.696846390000000,23.784333670000000
111,3362400511,3/4/2015,570000,3,1.75,1260,3328,1,0,0,5,6,700,560.0,1905,0,98103,47.6823,-122.349,1380,3536,Tract 002800,1,2,1,4,1.333333330000000,1.833539350000000,14.915533580000000
112,2525310310,9/16/2014,272500,3,1.75,1540,12600,1,0,0,4,7,1160,?,1980,0,98038,47.3624,-122.031,1540,11656,Tract 032011,1,2,1,4,1.333333330000000,1.880659390000000,16.345484100000000
113,6126500060,11/24/2014,329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000.0,1971,0,98108,47.5474,-122.295,2090,5500,Tract 010401,5,5,5,15,5.000000000000000,44.666511740000000,81.385080180000000
114,8961960160,10/28/2014,480000,4,2.5,3230,16171,2,0,,3,9,2520,710.0,2001,0,98001,47.3183,-122.253,2640,8517,Tract 029902,2,3,3,8,2.666666670000000,9.164222870000000,37.390029330000000
115,3626039325,11/21/2014,740500,3,3.5,4380,6350,2,0,0,3,8,2780,?,1900,,98117,47.6981,-122.368,1830,6350,Tract 001702,2,4,2,8,2.666666670000000,5.608443710000000,25.186258280000000
116,3362400431,6/26/2014,518500,3,3.5,1590,1102,3,0,0,3,8,1590,0.0,2010,0,98103,47.6824,-122.347,1620,3166,Tract 002800,1,2,1,4,1.333333330000000,1.833539350000000,14.915533580000000
117,4060000240,6/23/2014,205425,2,1,880,6780,1,0,0,4,6,880,0.0,1945,0,98178,47.5009,-122.248,1190,6780,Tract 011900,3,3,5,11,3.666666670000000,14.992760300000000,76.030011850000000
118,3454800060,1/8/2015,171800,4,2,1570,9600,1,,0,3,6,1570,0.0,1950,0,98168,47.4965,-122.303,1880,9000,Tract 027100,3,5,4,12,4.000000000000000,12.180974480000000,52.378190260000000
119,1695900060,5/11/2015,535000,4,1,1610,2982,1.5,0,0,4,7,1610,0.0,1925,0,98144,47.587,-122.294,1610,4040,Tract 009500,3,3,3,9,3.000000000000000,9.691563350000000,36.468097970000000
120,7278700070,1/2/2015,660000,3,2.5,2400,6474,1,0,2,3,8,1560,840.0,1964,0,98177,47.7728,-122.386,2340,10856,Tract 020100,1,3,1,5,1.666666670000000,2.963430010000000,17.875157630000000
121,6675500070,11/19/2014,391500,3,2,1450,9132,1,0,0,3,7,1450,0.0,1987,,98034,47.7288,-122.226,1580,9104,Tract 022201,1,3,1,5,1.666666670000000,4.491085530000000,22.342586320000000
122,3626039187,4/6/2015,395000,2,1,770,6000,1,0,0,3,6,770,0.0,1953,0,98117,47.6999,-122.364,1710,6000,Tract 001702,2,4,2,8,2.666666670000000,5.608443710000000,25.186258280000000
123,3524049083,11/4/2014,445000,4,1.75,2100,4400,1.5,,0,5,7,1720,380.0,1924,0,98118,47.5299,-122.266,1850,4400,Tract 011800,4,5,5,14,4.666666670000000,27.415329770000000,79.976232920000000
124,3275860240,6/18/2014,770000,3,2.25,2910,10204,2,0,0,3,9,2910,0.0,1990,0,98052,47.6897,-122.098,2700,13992,Tract 032325,2,2,4,8,2.666666670000000,6.268246610000000,50.472265160000000
125,4389200955,3/2/2015,1450000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770.0,1914,1992,98004,47.6141,-122.212,3060,11275,Tract 024000,3,2,3,8,2.666666670000000,11.922732510000000,41.895867980000000
